,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
52,0 days 02:10:54.224000,VER,1,78.941,53.0,4.0,,,0 days 00:00:23.353000,0 days 00:00:31.908000,0 days 00:00:23.680000,0 days 02:09:58.632000,0 days 02:10:30.540000,0 days 02:10:54.220000,264.0,278.0,285.0,314.0,False,SOFT,9.0,False,Red Bull Racing,0 days 02:09:35.283000,2025-06-01 14:13:39.481,1,3.0,False,,False,True
53,0 days 02:12:12.808000,VER,1,78.584,54.0,4.0,,,0 days 00:00:23.290000,0 days 00:00:31.708000,0 days 00:00:23.586000,0 days 02:11:17.510000,0 days 02:11:49.218000,0 days 02:12:12.804000,265.0,274.0,286.0,311.0,False,SOFT,10.0,False,Red Bull Racing,0 days 02:10:54.224000,2025-06-01 14:14:58.422,1,3.0,False,,False,True
54,0 days 02:13:47.452000,VER,1,94.644,55.0,4.0,,0 days 02:13:44.750000,0 days 00:00:23.359000,0 days 00:00:38.480000,0 days 00:00:32.805000,0 days 02:12:36.163000,0 days 02:13:14.643000,0 days 02:13:47.448000,,204.0,,310.0,False,SOFT,11.0,False,Red Bull Racing,0 days 02:12:12.808000,2025-06-01 14:16:17.006,124,3.0,False,,False,False
55,0 days 02:16:12.578000,VER,1,145.126,56.0,5.0,0 days 02:14:07.144000,,0 days 00:00:50.508000,0 days 00:00:54.769000,0 days 00:00:39.849000,0 days 02:14:37.956000,0 days 02:15:32.725000,0 days 02:16:12.574000,247.0,135.0,176.0,250.0,False,HARD,1.0,True,Red Bull Racing,0 days 02:13:47.452000,2025-06-01 14:17:51.650,4,3.0,False,,False,False
56,0 days 02:18:19.283000,VER,1,126.705,57.0,5.0,,,0 days 00:00:38.353000,0 days 00:00:48.618000,0 days 00:00:39.734000,0 days 02:16:50.927000,0 days 02:17:39.545000,0 days 02:18:19.279000,153.0,87.0,174.0,231.0,False,HARD,2.0,True,Red Bull Racing,0 days 02:16:12.578000,2025-06-01 14:20:16.776,4,3.0,False,,False,False
57,0 days 02:20:27.958000,VER,1,128.675,58.0,5.0,,,0 days 00:00:37.403000,0 days 00:00:49.887000,0 days 00:00:41.385000,0 days 02:18:56.682000,0 days 02:19:46.569000,0 days 02:20:27.954000,194.0,175.0,121.0,230.0,False,HARD,3.0,True,Red Bull Racing,0 days 02:18:19.283000,2025-06-01 14:22:23.481,4,3.0,False,,False,False
58,0 days 02:22:30.615000,VER,1,122.657,59.0,5.0,,,0 days 00:00:37.540000,0 days 00:00:48.275000,0 days 00:00:36.842000,0 days 02:21:05.494000,0 days 02:21:53.769000,0 days 02:22:30.611000,247.0,198.0,148.0,259.0,False,HARD,4.0,True,Red Bull Racing,0 days 02:20:27.958000,2025-06-01 14:24:32.156,4,3.0,False,,False,False
59,0 days 02:24:33.116000,VER,1,122.501,60.0,5.0,,,0 days 00:00:35.804000,0 days 00:00:45.499000,0 days 00:00:41.198000,0 days 02:23:06.415000,0 days 02:23:51.914000,0 days 02:24:33.112000,184.0,208.0,279.0,202.0,False,HARD,5.0,True,Red Bull Racing,0 days 02:22:30.615000,2025-06-01 14:26:34.813,41,3.0,False,,False,False
60,0 days 02:25:51.978000,VER,1,78.862,61.0,5.0,,,0 days 00:00:23.624000,0 days 00:00:32.097000,0 days 00:00:23.141000,0 days 02:24:56.736000,0 days 02:25:28.833000,0 days 02:25:51.974000,247.0,281.0,288.0,305.0,False,HARD,6.0,True,Red Bull Racing,0 days 02:24:33.116000,2025-06-01 14:28:37.314,1,4.0,True,TRACK LIMITS AT TURN 2 LAP 61 ,False,True
61,0 days 02:27:08.997000,VER,1,77.019,62.0,5.0,,,0 days 00:00:22.725000,0 days 00:00:30.995000,0 days 00:00:23.299000,0 days 02:26:14.699000,0 days 02:26:45.694000,0 days 02:27:08.993000,280.0,286.0,291.0,312.0,True,HARD,7.0,True,Red Bull Racing,0 days 02:25:51.978000,2025-06-01 14:29:56.176,1,4.0,False,,False,True
